model,window_days,threshold,precision,recall
arima,1,1.2439953928078396e-09,0.01719662556781311,0.9814814814814815
arima,1,1.2498976992292299e-09,0.0172022070756248,0.9814814814814815
arima,1,1.2570265939260141e-09,0.017207792207792207,0.9814814814814815
arima,1,1.258871493159397e-09,0.017213380967846702,0.9814814814814815
arima,1,1.2618501937788904e-09,0.017218973359324236,0.9814814814814815
arima,1,1.267300805962712e-09,0.017224569385765356,0.9814814814814815
arima,1,1.272081801007019e-09,0.017230169050715213,0.9814814814814815
arima,1,1.273147892666415e-09,0.017235772357723576,0.9814814814814815
arima,1,1.2736754984032927e-09,0.017241379310344827,0.9814814814814815
arima,1,1.2760576900694431e-09,0.017246989912137977,0.9814814814814815
arima,1,1.2763058943043861e-09,0.017252604166666668,0.9814814814814815
arima,1,1.2856869041621975e-09,0.017258222077499184,0.9814814814814815
arima,1,1.2893222045562423e-09,0.01726384364820847,0.9814814814814815
arima,1,1.2932141052468538e-09,0.01726946888237211,0.9814814814814815
arima,1,1.2972194013416427e-09,0.01727509778357236,0.9814814814814815
arima,1,1.304084687459017e-09,0.01728073035539615,0.9814814814814815
arima,1,1.305289903941187e-09,0.017286366601435094,0.9814814814814815
arima,1,1.3070493992684007e-09,0.01729200652528548,0.9814814814814815
arima,1,1.3112600033560182e-09,0.017297650130548303,0.9814814814814815
arima,1,1.3125337067210194e-09,0.017303297420829252,0.9814814814814815
arima,1,1.314769890181644e-09,0.017308948399738733,0.9814814814814815
arima,1,1.3265957915509219e-09,0.017314603070891867,0.9814814814814815
arima,1,1.3293205980424714e-09,0.017320261437908498,0.9814814814814815
arima,1,1.3295834988547026e-09,0.017325923504413206,0.9814814814814815
arima,1,1.330129811849545e-09,0.017331589274035317,0.9814814814814815
arima,1,1.3409900967431552e-09,0.017337258750408896,0.9814814814814815
arima,1,1.341635399998431e-09,0.017342931937172776,0.9814814814814815
arima,1,1.3437298912455375e-09,0.01734860883797054,0.9814814814814815
arima,1,1.3444540897245003e-09,0.017354289456450556,0.9814814814814815
arima,1,1.3454358044340251e-09,0.017359973796265967,0.9814814814814815
arima,1,1.3573614870976414e-09,0.017365661861074706,0.9814814814814815
arima,1,1.362559995388146e-09,0.017371353654539495,0.9814814814814815
arima,1,1.3640347046317556e-09,0.01737704918032787,0.9814814814814815
arima,1,1.3722069036603555e-09,0.017382748442112166,0.9814814814814815
arima,1,1.3752810001932403e-09,0.017388451443569555,0.9814814814814815
arima,1,1.3758930939022918e-09,0.017394158188382015,0.9814814814814815
arima,1,1.3840335960635384e-09,0.017399868680236377,0.9814814814814815
arima,1,1.3858049985326915e-09,0.017405582922824302,0.9814814814814815
arima,1,1.3870525006343115e-09,0.01741130091984231,0.9814814814814815
arima,1,1.3907529988754772e-09,0.017417022674991785,0.9814814814814815
arima,1,1.392664789046094e-09,0.017422748191978962,0.9814814814814815
arima,1,1.395294393913282e-09,0.017422748191978962,0.9814814814814815
arima,1,1.4003646992000183e-09,0.017428477474514963,0.9814814814814815
